substrate_id,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,yield
Mizolastine,0,0.0,1.0,0.0,65.18987342
Mizolastine,1,0.0,1.0,0.0,100.0
Mizolastine,2,0.0,1.0,0.0,79.74683544
Mizolastine,4,0.0,1.0,0.0,96.83544304
Mizolastine,6,0.0,1.0,0.0,94.93670886
Mizolastine,10,0.0,1.0,0.0,93.67088608
Mizolastine,15,0.0,1.0,0.0,75.3164557
Mizolastine,25,0.0,1.0,0.0,77.84810127
Nevirapine,0,1.0,0.0,0.0,19.31034483
Nevirapine,1,1.0,0.0,0.0,28.0
Nevirapine,5,1.0,0.0,0.0,10.62068966
Nevirapine,2,1.0,0.0,0.0,12.55172414
Nevirapine,4,1.0,0.0,0.0,10.62068966
Nevirapine,6,1.0,0.0,0.0,7.724137931
Nevirapine,10,1.0,0.0,0.0,5.793103448
Nevirapine,15,1.0,0.0,0.0,7.724137931
Nevirapine,25,1.0,0.0,0.0,6.75862069
Nevirapine,0,0.0,0.0,1.0,0.0
Nevirapine,1,0.0,0.0,1.0,0.0
Nevirapine,2,0.0,0.0,1.0,0.0
Nevirapine,4,0.0,0.0,1.0,0.0
Nevirapine,6,0.0,0.0,1.0,0.0
Nevirapine,10,0.0,0.0,1.0,0.0
Nevirapine,15,0.0,0.0,1.0,0.0
Nevirapine,25,0.0,0.0,1.0,0.0
Nevirapine,0,0.0,1.0,0.0,0.0
Nevirapine,1,0.0,1.0,0.0,0.0
Nevirapine,2,0.0,1.0,0.0,0.0
Nevirapine,4,0.0,1.0,0.0,0.0
Nevirapine,6,0.0,1.0,0.0,0.0
Nevirapine,10,0.0,1.0,0.0,0.0
Nevirapine,15,0.0,1.0,0.0,0.0
Nevirapine,25,0.0,1.0,0.0,0.0
Omeprazole,0,1.0,0.0,0.0,0.0
Omeprazole,1,1.0,0.0,0.0,0.0
Omeprazole,5,1.0,0.0,0.0,0.0
Omeprazole,25,1.0,0.0,0.0,0.0
Omeprazole,0,0.0,0.0,1.0,0.0
Omeprazole,1,0.0,0.0,1.0,0.0
Omeprazole,5,0.0,0.0,1.0,0.0
Omeprazole,25,0.0,0.0,1.0,0.0
Omeprazole,0,0.0,1.0,0.0,0.0
Omeprazole,1,0.0,1.0,0.0,0.0
Omeprazole,5,0.0,1.0,0.0,0.0
Omeprazole,25,0.0,1.0,0.0,0.0
Palbociclib,0,1.0,0.0,0.0,17.11538462
Palbociclib,1,1.0,0.0,0.0,0.0
Palbociclib,2,1.0,0.0,0.0,0.0
Palbociclib,4,1.0,0.0,0.0,53.05769231
Palbociclib,6,1.0,0.0,0.0,73.59615385
Palbociclib,10,1.0,0.0,0.0,89.0
Palbociclib,15,1.0,0.0,0.0,86.43269231
Palbociclib,25,1.0,0.0,0.0,85.57692308
Palbociclib,0,0.0,0.0,1.0,0.0
Palbociclib,1,0.0,0.0,1.0,0.0
Palbociclib,2,0.0,0.0,1.0,0.0
Palbociclib,4,0.0,0.0,1.0,81.0
Palbociclib,6,0.0,0.0,1.0,80.22115385
Palbociclib,10,0.0,0.0,1.0,66.20192308
Palbociclib,15,0.0,0.0,1.0,62.30769231
Palbociclib,25,0.0,0.0,1.0,66.20192308
Palbociclib,0,0.0,1.0,0.0,6.545454545
Palbociclib,1,0.0,1.0,0.0,11.45454545
Palbociclib,2,0.0,1.0,0.0,0.0
Palbociclib,4,0.0,1.0,0.0,5.454545455
Palbociclib,6,0.0,1.0,0.0,7.636363636
Palbociclib,10,0.0,1.0,0.0,16.90909091
Palbociclib,15,0.0,1.0,0.0,9.818181818
Palbociclib,25,0.0,1.0,0.0,18.0
Paracetamol,0,1.0,0.0,0.0,77.0
Paracetamol,1,1.0,0.0,0.0,57.97647059
Paracetamol,2,1.0,0.0,0.0,57.97647059
Paracetamol,4,1.0,0.0,0.0,57.97647059
Paracetamol,6,1.0,0.0,0.0,55.25882353
Paracetamol,10,1.0,0.0,0.0,50.72941176
Paracetamol,15,1.0,0.0,0.0,38.95294118
Paracetamol,25,1.0,0.0,0.0,39.85882353
Paracetamol,0,0.0,0.0,1.0,13.0
Paracetamol,1,0.0,0.0,1.0,34.0
Paracetamol,2,0.0,0.0,1.0,34.0
Paracetamol,4,0.0,0.0,1.0,41.0
Paracetamol,6,0.0,0.0,1.0,51.0
Paracetamol,10,0.0,0.0,1.0,48.0
Paracetamol,15,0.0,0.0,1.0,50.0
Paracetamol,25,0.0,0.0,1.0,48.0
