substrate_id,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,yield
Ciprofloxacin,2.0,0.0,0.0,1.0,77.0
Cladribine,2.0,0.0,0.0,1.0,0.0
Clotrimazole,2.0,0.0,0.0,1.0,0.0
Etodolac,2.0,0.0,0.0,1.0,0.0
Griseofulvin,2.0,0.0,0.0,1.0,71.0
Ibuprofen,2.0,0.0,0.0,1.0,97.0
Indomethacin,2.0,0.0,0.0,1.0,0.0
Lamivudine,2.0,0.0,0.0,1.0,0.0
Mizolastine,2.0,0.0,0.0,1.0,79.0
Nevirapine,2.0,0.0,0.0,1.0,0.0
Omeprazole,2.0,0.0,0.0,1.0,0.0
Palbociclib,2.0,0.0,0.0,1.0,0.0
Paracetamol,2.0,0.0,0.0,1.0,20.0
Quinine,2.0,0.0,0.0,1.0,107.0
Ribavirin,2.0,0.0,0.0,1.0,0.0
Risperidone,2.0,0.0,0.0,1.0,0.0
Ritonavir,2.0,0.0,0.0,1.0,36.0
Tetracycline,2.0,0.0,0.0,1.0,0.0
Vardenafil,2.0,0.0,0.0,1.0,0.0
Yohimbine,2.0,0.0,0.0,1.0,0.0
Caffeine,2.0,0.0,1.0,0.0,4.0
Camptothecin,2.0,0.0,1.0,0.0,5.0
Cimetadine,2.0,0.0,1.0,0.0,0.0
Ciprofloxacin,2.0,0.0,1.0,0.0,3.0
Cladribine,2.0,0.0,1.0,0.0,0.0
Clotrimazole,2.0,0.0,1.0,0.0,0.0
Etodolac,2.0,0.0,1.0,0.0,0.0
Griseofulvin,2.0,0.0,1.0,0.0,26.0
Hydroquinine,2.0,0.0,1.0,0.0,3.0
Hydroxychloroquine,2.0,0.0,1.0,0.0,6.0
Ibuprofen,2.0,0.0,1.0,0.0,18.0
Indomethacin,2.0,0.0,1.0,0.0,76.0
Ketanserin,2.0,0.0,1.0,0.0,46.0
Lamivudine,2.0,0.0,1.0,0.0,0.0
Lidocaine,2.0,0.0,1.0,0.0,56.0
Nevirapine,2.0,0.0,1.0,0.0,0.0
Omeprazole,2.0,0.0,1.0,0.0,0.0
Palbociclib,2.0,0.0,1.0,0.0,0.0
Paracetamol,2.0,0.0,1.0,0.0,46.0
Quinine,2.0,0.0,1.0,0.0,0.0
Ribavirin,2.0,0.0,1.0,0.0,0.0
Risperidone,2.0,0.0,1.0,0.0,0.0
Ritonavir,2.0,0.0,1.0,0.0,105.0
Salicin,2.0,0.0,1.0,0.0,20.0
Tetracycline,2.0,0.0,1.0,0.0,0.0
Vardenafil,2.0,0.0,1.0,0.0,0.0
Yohimbine,2.0,0.0,1.0,0.0,82.0
Bifonazole,4.0,1.0,0.0,0.0,96.0
Caffeine,4.0,1.0,0.0,0.0,0.0
Camptothecin,4.0,1.0,0.0,0.0,60.0
Cimetadine,4.0,1.0,0.0,0.0,0.0
Ciprofloxacin,4.0,1.0,0.0,0.0,56.0
Cladribine,4.0,1.0,0.0,0.0,0.0
Clotrimazole,4.0,1.0,0.0,0.0,0.0
Etodolac,4.0,1.0,0.0,0.0,0.0
Ibuprofen,4.0,1.0,0.0,0.0,2.0
Indomethacin,4.0,1.0,0.0,0.0,81.0
Ketanserin,4.0,1.0,0.0,0.0,74.0
Lamivudine,4.0,1.0,0.0,0.0,0.0
Lidocaine,4.0,1.0,0.0,0.0,72.0
Mizolastine,4.0,1.0,0.0,0.0,95.0
Nevirapine,4.0,1.0,0.0,0.0,7.0
Omeprazole,4.0,1.0,0.0,0.0,0.0
Palbociclib,4.0,1.0,0.0,0.0,62.0
Paracetamol,4.0,1.0,0.0,0.0,58.0
Quinine,4.0,1.0,0.0,0.0,0.0
Ribavirin,4.0,1.0,0.0,0.0,0.0
Risperidone,4.0,1.0,0.0,0.0,21.0
Salicin,4.0,1.0,0.0,0.0,42.0
Tetracycline,4.0,1.0,0.0,0.0,0.0
