substrate_id,reagent,tfa_equivalents,yield
Indomethacin,palauchlor,0,0
Indomethacin,palauchlor,1,0
Indomethacin,palauchlor,2,0
Indomethacin,palauchlor,6,0
Indomethacin,palauchlor,10,0
Indomethacin,palauchlor,15,0
Indomethacin,palauchlor,25,0
Indomethacin,nis,0,15.89090909
Indomethacin,nis,1,92
Indomethacin,nis,2,86.98181818
Indomethacin,nis,4,87.81818182
Indomethacin,nis,6,87.81818182
Indomethacin,nis,10,62.72727273
Indomethacin,nis,15,57.70909091
Indomethacin,nis,25,48.50909091
Ketanserin,nbs,0,34
Ketanserin,nbs,1,51
Ketanserin,nbs,2,30.69444444
Ketanserin,nbs,4,34.94444444
Ketanserin,nbs,6,21.72222222
Ketanserin,nbs,10,7.083333333
Ketanserin,nbs,15,3.777777778
Ketanserin,nbs,25,3.305555556
Ketanserin,palauchlor,0,8.062111871
Ketanserin,palauchlor,1,2.800334181
Ketanserin,palauchlor,2,49.37006379
Ketanserin,palauchlor,4,75.44753493
Ketanserin,palauchlor,6,77.59937639
Ketanserin,palauchlor,10,75.73033753
Ketanserin,palauchlor,15,74.79584604
Ketanserin,palauchlor,25,60.72140704
Ketanserin,nis,0,33.33606557
Ketanserin,nis,1,31.97540984
Ketanserin,nis,2,44.22131148
Ketanserin,nis,4,57.82786885
Ketanserin,nis,6,73.47540984
Ketanserin,nis,10,83
Ketanserin,nis,15,68.71311475
Ketanserin,nis,25,72.1147541
Lamivudine,nbs,0,0
Lamivudine,nbs,1,0
Lamivudine,nbs,5,0
Lamivudine,nbs,25,0
Lamivudine,palauchlor,0,0
Lamivudine,palauchlor,1,0
Lamivudine,palauchlor,5,0
Lamivudine,palauchlor,25,0
Lamivudine,nis,0,0
Lamivudine,nis,1,1
Lamivudine,nis,5,2
Lamivudine,nis,25,0
Lidocaine,nbs,0,0
Lidocaine,nbs,1,1.454545455
Lidocaine,nbs,2,64
Lidocaine,nbs,4,52.36363636
Lidocaine,nbs,6,38.54545455
Lidocaine,nbs,10,29.81818182
Lidocaine,nbs,15,8
Lidocaine,nbs,25,5.090909091
Lidocaine,palauchlor,0,2.498521641
Lidocaine,palauchlor,1,17.14012144
Lidocaine,palauchlor,2,62.56569748
Lidocaine,palauchlor,4,76.87529569
Lidocaine,palauchlor,6,76.69739914
Lidocaine,palauchlor,10,97.92508623
Lidocaine,palauchlor,15,83.52895797
Lidocaine,palauchlor,25,97.02439992
Lidocaine,nis,0,0
Lidocaine,nis,1,8.25
Lidocaine,nis,2,46.75
Lidocaine,nis,4,55
Lidocaine,nis,6,56.375
Lidocaine,nis,10,66.6875
Lidocaine,nis,15,88
Lidocaine,nis,25,73.5625
Mizolastine,nbs,0,62.43243243
Mizolastine,nbs,1,70.54054054
Mizolastine,nbs,2,74.59459459
Mizolastine,nbs,4,77.02702703
Mizolastine,nbs,6,83.51351351
Mizolastine,nbs,10,90
Mizolastine,nbs,15,85.94594595
Mizolastine,nbs,25,81.08108108
Mizolastine,palauchlor,0,34
Mizolastine,palauchlor,1,54
Mizolastine,palauchlor,2,79
Mizolastine,palauchlor,4,35
Mizolastine,palauchlor,6,53
Mizolastine,palauchlor,10,39
Mizolastine,palauchlor,15,45
Mizolastine,palauchlor,25,53
Mizolastine,nis,0,65.18987342
Mizolastine,nis,1,100
Mizolastine,nis,2,79.74683544
Mizolastine,nis,4,96.83544304
Mizolastine,nis,6,94.93670886
Mizolastine,nis,10,93.67088608
Mizolastine,nis,15,75.3164557
Mizolastine,nis,25,77.84810127
Nevirapine,nbs,0,19.31034483
Nevirapine,nbs,1,28
Nevirapine,nbs,5,10.62068966
Nevirapine,nbs,2,12.55172414
Nevirapine,nbs,4,10.62068966
Nevirapine,nbs,6,7.724137931
Nevirapine,nbs,10,5.793103448
Nevirapine,nbs,15,7.724137931
Nevirapine,nbs,25,6.75862069
Nevirapine,palauchlor,0,0
Nevirapine,palauchlor,1,0
Nevirapine,palauchlor,2,0
Nevirapine,palauchlor,4,0
Nevirapine,palauchlor,6,0
Nevirapine,palauchlor,10,0
Nevirapine,palauchlor,15,0
Nevirapine,palauchlor,25,0
Nevirapine,nis,0,0
Nevirapine,nis,1,0
Nevirapine,nis,2,0
Nevirapine,nis,4,0
Nevirapine,nis,6,0
Nevirapine,nis,10,0
Nevirapine,nis,15,0
Nevirapine,nis,25,0
Omeprazole,nbs,0,0
Omeprazole,nbs,1,0
Omeprazole,nbs,5,0
Omeprazole,nbs,25,0
Omeprazole,palauchlor,0,0
Omeprazole,palauchlor,1,0
Omeprazole,palauchlor,5,0
Omeprazole,palauchlor,25,0
Omeprazole,nis,0,0
Omeprazole,nis,1,0
Omeprazole,nis,5,0
Omeprazole,nis,25,0
Palbociclib,nbs,0,17.11538462
Palbociclib,nbs,1,0
Palbociclib,nbs,2,0
Palbociclib,nbs,4,53.05769231
Palbociclib,nbs,6,73.59615385
Palbociclib,nbs,10,89
Palbociclib,nbs,15,86.43269231
Palbociclib,nbs,25,85.57692308
Palbociclib,palauchlor,0,0
Palbociclib,palauchlor,1,0
Palbociclib,palauchlor,2,0
Palbociclib,palauchlor,4,81
Palbociclib,palauchlor,6,80.22115385
Palbociclib,palauchlor,10,66.20192308
Palbociclib,palauchlor,15,62.30769231
Palbociclib,palauchlor,25,66.20192308
Palbociclib,nis,0,6.545454545
Palbociclib,nis,1,11.45454545
Palbociclib,nis,2,0
Palbociclib,nis,4,5.454545455
Palbociclib,nis,6,7.636363636
Palbociclib,nis,10,16.90909091
Palbociclib,nis,15,9.818181818
Palbociclib,nis,25,18
Paracetamol,nbs,0,77
Paracetamol,nbs,1,57.97647059
Paracetamol,nbs,2,57.97647059
Paracetamol,nbs,4,57.97647059
Paracetamol,nbs,6,55.25882353
Paracetamol,nbs,10,50.72941176
Paracetamol,nbs,15,38.95294118
Paracetamol,nbs,25,39.85882353
Paracetamol,palauchlor,0,13
Paracetamol,palauchlor,1,34
Paracetamol,palauchlor,2,34
Paracetamol,palauchlor,4,41
Paracetamol,palauchlor,6,51
Paracetamol,palauchlor,10,48
Paracetamol,palauchlor,15,50
Paracetamol,palauchlor,25,48
Paracetamol,nis,0,41
Paracetamol,nis,1,54
Paracetamol,nis,2,57
Paracetamol,nis,4,67
Paracetamol,nis,6,64
Paracetamol,nis,10,47
Paracetamol,nis,15,53
Paracetamol,nis,25,56
Quinine,nbs,0,11.11842105
Quinine,nbs,1,27.36842105
Quinine,nbs,5,0
Quinine,nbs,2,65
Quinine,nbs,4,0
Quinine,nbs,6,0
Quinine,nbs,10,0
Quinine,nbs,15,0
Quinine,nbs,25,0
Quinine,palauchlor,0,44.42056075
Quinine,palauchlor,1,92.46728972
Quinine,palauchlor,2,97
Quinine,palauchlor,4,0
Quinine,palauchlor,6,0
Quinine,palauchlor,10,0
Quinine,palauchlor,15,0
Quinine,palauchlor,25,0
Quinine,nis,0,0
Quinine,nis,1,0
Quinine,nis,2,0
Quinine,nis,4,0
Quinine,nis,6,0
Quinine,nis,10,0
Quinine,nis,15,0
