substrate_id,yield,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,GATS7d_mordred,softness+_max_aqme,MINaaN_mordred,GATS7s_mordred,MDEO-12_mordred,softness-_indxcarbon_aqme,Buried volume_min_aqme,ETA_dEpsilon_B_mordred,FilterItLogS_mordred,Radical attack_indxcarbon_aqme,AATS7i_mordred,Partial charge_min_aqme,FOD p proportion_indxcarbon_aqme,GATS8d_mordred,SIC1_mordred,MINdssC_mordred,MINsCH3_mordred,BCUTs-1l_mordred,Disp. coeff. C6_max_aqme,Nu_Nucleophil._min_aqme,SaaCH_mordred,MDEO-11_mordred,MAXdO_mordred,BCUTdv-1l_mordred,MAXssCH2_mordred,ATSC2d_mordred
Bifonazole,95.34665304,25.0,0.0,1.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Boscalid,64.42592593,0.0,1.0,0.0,0.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,76.22222222,1.0,1.0,0.0,0.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,98.0,5.0,1.0,0.0,0.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,5.196428571,0.0,0.0,0.0,1.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,89.20535714,1.0,0.0,0.0,1.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,91.80357143,2.0,0.0,0.0,1.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,92.66964286,4.0,0.0,0.0,1.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,97.0,6.0,0.0,0.0,1.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,94.40178571,10.0,0.0,0.0,1.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,94.40178571,15.0,0.0,0.0,1.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,96.13392857,25.0,0.0,0.0,1.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,43.47826087,0.0,0.0,1.0,0.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,76.52173913,1.0,0.0,1.0,0.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
Boscalid,100.0,5.0,0.0,1.0,0.0,1.076160384,0.0121,3.922048825,1.296187663,,0.0044,0.2629,0.108800854,-6.591331847,0.0341,155.307924,-0.4159,0.013,0.952024971,0.565364393,-0.301376361,,1.302141956,104.727,-0.0,19.83757484,,12.41590126,0.773076311,,-3.826938776
