substrate_id,yield,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,Electrophilic descrip._aqme,Trans. dipole moment_aqme,MinEStateIndex_aqme,FpDensityMorgan2_aqme,FpDensityMorgan3_aqme,Kappa3_aqme,SlogP_VSA3_aqme,VSA_EState6_aqme,NumAromaticCarbocycles_aqme,Radical attack_indxcarbon_aqme,SASA_indxcarbon_aqme,FOD_indxcarbon_aqme,fukui0_indxcarbon_aqme,softness-_indxcarbon_aqme,Born radii_indxcarbon_aqme,FOD p proportion_indxcarbon_aqme,Buried volume_min_aqme,Coord. numbers_min_aqme,softness-_min_aqme,Nu_Electrophil._min_aqme,Coord. numbers_max_aqme,Polariz. alpha_max_aqme,fukui+_max_aqme,softness+_max_aqme,Mult. descrip._max_aqme,FOD s proportion_max_aqme
Caffeine,25.0,0.0,0.0,0.0,1.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,17.0,1.0,0.0,0.0,1.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,9.0,2.0,0.0,0.0,1.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,6.0,4.0,0.0,0.0,1.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,5.0,6.0,0.0,0.0,1.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,3.0,10.0,0.0,0.0,1.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,2.0,15.0,0.0,0.0,1.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,2.0,25.0,0.0,0.0,1.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,0.0,0.0,0.0,1.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,2.25,1.0,0.0,1.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,3.0,2.0,0.0,1.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,3.0,4.0,0.0,1.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,2.25,6.0,0.0,1.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,3.0,10.0,0.0,1.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,0.75,15.0,0.0,1.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,0.75,25.0,0.0,1.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Camptothecin,42.58252427,0.0,1.0,0.0,0.0,1.2443,5.7764,-3.956159602015484,2.384615384615384,3.230769230769231,1.818757008994824,28.1882958760878,-5.239269473292428,1.0,0.0355,7.519,0.0301,0.0216,0.0038,2.6745,0.03,0.3251,0.804,-0.0019,-0.0101,3.8036,8.9071,0.079,0.0125,0.0405,0.011
Camptothecin,86.0,1.0,1.0,0.0,0.0,1.2443,5.7764,-3.956159602015484,2.384615384615384,3.230769230769231,1.818757008994824,28.1882958760878,-5.239269473292428,1.0,0.0355,7.519,0.0301,0.0216,0.0038,2.6745,0.03,0.3251,0.804,-0.0019,-0.0101,3.8036,8.9071,0.079,0.0125,0.0405,0.011
Camptothecin,82.66019417,2.0,1.0,0.0,0.0,1.2443,5.7764,-3.956159602015484,2.384615384615384,3.230769230769231,1.818757008994824,28.1882958760878,-5.239269473292428,1.0,0.0355,7.519,0.0301,0.0216,0.0038,2.6745,0.03,0.3251,0.804,-0.0019,-0.0101,3.8036,8.9071,0.079,0.0125,0.0405,0.011
